ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"114268073440040000","114","268","073440","04","0000",IQ,ITQ,"3",S,S,ZEUP,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"14",,L,"16050","2014",PI,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",0.00,450.00,RUA FRANCISCO ALARICO BERGAMO,"956",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"134242621145000072","134","242","621145","00","0072",IT,IPA,"1",S,S,ZC,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",113.00,125.00,RUA LUIS DE ARAUJO COURA,"49",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"230102401684000368","230","102","401684","00","0368",IQ,JBO,"1",S,S,ZMIS,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",1070.00,1361.00,RUA POESIA DO SERTAO,"66",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000018","229","230","494445","00","0018",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,130.00,RUA INES SABINO,"96",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000017","229","230","494445","00","0017",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",220.00,130.00,RUA INES SABINO,"88",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000016","229","230","494445","00","0016",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",130.00,130.00,RUA INES SABINO,"84",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000015","229","230","494445","00","0015",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",130.00,130.00,RUA INES SABINO,"80",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000014","229","230","494445","00","0014",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,130.00,RUA INES SABINO,"74",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000013","229","230","494445","00","0013",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,130.00,RUA INES SABINO,"68",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000012","229","230","494445","00","0012",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",180.00,130.00,RUA INES SABINO,"62",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
